1,3,James Myer,Dume,Boer,White and Brown,Active,
2,1096,MIL,Dume,Local,White + Light Brown,Active,
3,1097,MIL,Dume,Local,White,Active,
4,1098,MIL,Dume,Local,White + Black,Active,
5,1099,MIL,Dume,Local,Brown + Black,Active,
6,1101,MIL,Dume,Local,Brown,Active,
7,1102,MIL,Dume,Local,Grey + Black + Brown,Active,
8,1103,MIL,Dume,Local,White,Active,
9,1104,MIL,Dume,Local,White + Grey + Brown,Active,
10,1105,MIL,Dume,Local,White + Grey,Active,
11,1443,Kongwa Ranch,Jike,Boer Cross,Black + White ,Active,
12,1444,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
13,1445,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
14,1446,Kongwa Ranch,Jike,Boer Cross,White + Brown,Active,
15,1448,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
16,1449,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
17,1450,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
18,1451,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
19,1452,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
20,1453,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
21,1454,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
22,1455,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
23,1456,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
24,1457,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
25,1458,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
26,1459,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
27,1460,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
28,1461,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
29,1462,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Active,
30,1463,Kongwa Ranch,Jike,Boer Cross,Grey,Active,
31,1094,MIL,Jike,Local,White + Brown,Active,
32,1093,MIL,Jike,Local,Brown,Active,
33,1092,RUVU,Jike,Local,Brown + Black,Active,
34,1091,RUVU,Jike,Local,Brown,Active,
35,1090,RUVU,Jike,Local,Brown,Active,
36,1089,RUVU,Jike,Local,Light Brown + White,Active,
37,1088,RUVU,Jike,Local,Brown,Active,
38,1087,RUVU,Jike,Local,White + Light Brown,Active,
39,1086,RUVU,Jike,Local,Black,Active,
40,1085,MIL,Jike,Local,Brown + Black,Active,
41,1084,RUVU,Jike,Local,White,Active,
42,1083,RUVU,Jike,Local,Brown,Active,
43,1082,RUVU,Jike,Local,Brown + Black + White,Active,
44,1081,RUVU,Jike,Local,Brown + Black + White,Active,
45,1080,RUVU,Jike,Local,Brown + Black + White,Active,
46,1079,MIL,Jike,Local,White + BLack + Brown,Active,
47,1078,MIL,Jike,Local,White + Black,Active,
48,1077,MIL,Jike,Local,Brown + Black + White,Active,
49,1076,MIL,Jike,Local,Brown,Active,
50,1075,MIL,Jike,Local,Brown,Active,
51,1074,MIL,Jike,Local,Light Brown + White,Active,
52,1073,MIL,Jike,Local,Black + White,Active,
53,1071,MIL,Jike,Local,Dark Brown + Light Brown + White,Active,
54,1070,MIL,Jike,Local,White,Active,
55,1069,MIL,Jike,Local,White + Grey,Active,
56,1068,MIL,Jike,Local,Grey + White,Active,
57,1067,MIL,Jike,Local,White,Active,
58,1066,MIL,Jike,Local,,Active,
59,1065,MIL,Jike,Local,White,Active,
60,1064,MIL,Jike,Local,White + Black,Active,
61,1063,MIL,Jike,Local,Brown + White,Active,
62,1062,MIL,Jike,Local,White + Black,Active,
63,1061,MIL,Jike,Local,White + Brown + Black,Active,
64,1060,MIL,Jike,Local,Light Brown + White,Active,
65,1059,MIL,Jike,Local,White + Light Brown,Active,
66,1058,MIL,Jike,Local,White + Grey,Active,
67,1057,MIL,Jike,Local,White + Black,Active,
68,1056,MIL,Jike,Local,White + Light Brown,Active,
69,1055,MIL,Jike,Local,White,Active,
70,1054,MIL,Jike,Local,Black + White,Active,
71,1053,MIL,Jike,Local,Brown,Active,
72,1052,MIL,Jike,Local,Brown,Active,
73,1051,MIL,Jike,Local,White + Black,Active,
74,1050,MIL,Jike,Local,Light Brown,Active,
75,1049,MIL,Jike,Local,Brown + White,Active,
76,1048,MIL,Jike,Local,Black,Active,
77,1047,MIL,Jike,Local,Brown + Black,Active,
78,1046,MIL,Jike,Local,White,Active,
79,1045,MIL,Jike,Local,Light Brown + White,Active,
80,1044,MIL,Jike,Local,Light Brown,Active,
81,1043,MIL,Jike,Local,Black + White,Active,
82,1042,MIL,Jike,Local,Light Brown + White,Active,
83,1041,MIL,Jike,Local,Light Brown + White,Active,
84,1040,MIL,Jike,Local,Black + White,Active,
85,1039,MIL,Jike,Local,White,Active,
86,1038,MIL,Jike,Local,Brown + White,Active,
87,1037,MIL,Jike,Local,Brown,Active,
88,1036,MIL,Jike,Local,Brown + White,Active,
89,1035,MIL,Jike,Local,White + Brown,Active,
90,1034,MIL,Jike,Local,White,Active,
91,1033,MIL,Jike,Local,Brown + White,Active,
92,1032,MIL,Jike,Local,Brown + White,Active,
93,1031,MIL,Jike,Local,Brown,Active,
94,1030,MIL,Jike,Local,Brown + Black + White,Active,
95,1029,MIL,Jike,Local,White,Active,
96,1028,MIL,Jike,Local,Brown + White,Active,
97,1027,MIL,Jike,Local,White,Active,
98,1026,MIL,Jike,Local,Light Brown + White,Active,
99,1025,MIL,Jike,Local,White,Active,
100,1024,MIL,Jike,Local,Brown + White,Active,
101,1023,MIL,Jike,Local,Brown + White,Active,
102,1022,MIL,Jike,Local,Brown + Black + White,Active,
103,1021,MIL,Jike,Local,Brown + White,Active,
104,1020,MIL,Jike,Local,Black  + White,Active,
105,1019,MIL,Jike,Local,Light Brown,Active,
106,1018,MIL,Jike,Local,White,Active,
107,1017,MIL,Jike,Local,Black + White,Active,
108,1016,MIL,Jike,Local,White,Active,
109,1015,MIL,Jike,Local,White + Light Brown,Active,
110,1014,MIL,Jike,Local,White,Active,
111,1013,MIL,Jike,Local,Light Brown,Active,
112,1012,MIL,Jike,Local,Brown + Black + white,Active,
113,1011,MIL,Jike,Local,Brown + White,Active,
114,1010,MIL,Jike,Local,White,Active,
115,1009,MIL,Jike,Local,Brown,Active,
116,1008,MIL,Jike,Local,White,Active,
117,1007,MIL,Jike,Local,White,Active,
118,1006,MIL,Jike,Local,White,Active,
119,1005,MIL,Jike,Local,White,Active,
120,1004,MIL,Jike,Local,White,Active,
121,1003,MIL,Jike,Local,White,Active,
122,1413,Kilindi Tanga,Jike,Local,White + Brown,Active,
123,1414,Kilindi Tanga,Jike,Local,White +Brown,Active,
124,1415,Kilindi Tanga,Jike,Local,Brown,Active,
125,1416,Kilindi Tanga,Jike,Local,Brown,Active,
126,1417,Kilindi Tanga,Jike,Local,White + Brown Dots,Active,
127,1418,Kilindi Tanga,Jike,Local,Brown + Black,Active,
128,1419,Kilindi Tanga,Jike,Local,White + Light Brown Dots,Active,
129,1072,MIL,Jike,Local,Brown + Black,Died,
130,1106,MIL,Dume,Local,White,Missing,
131,1442,Kongwa Ranch,Jike,Boer Cross,White + Light Brown,Missing,
132,1095,MIL,Dume,Local,White + Black,Sold,
133,1100,MIL,Dume,Local,White + Black,Sold,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
